file_path,category_urdu,category_english,text_sample
20250618_001001_زبان کی تدریس میں تخلیق کا دائرہ_ عمل_ مضمون نگار_.txt,سیاست,politics,"Title: زبان کی تدریس میں تخلیق کا دائرۂ عمل، مضمون نگار: محمد نوراسلام

Published: -دسمبر 13, 2024
..."
20250618_001001_پیاس کی بازگشت_ قدیم سنسکرت سے جدید اردو تک کا ایک.txt,سیاست,politics,"Title: پیاس کی بازگشت: قدیم سنسکرت سے جدید اردو تک کا ایک ادبی سفر، مضمون نگار: شیخ عقیل احمد

Publi..."
20250618_113459_فروغ_ نقاش کا شاہکار_ مہابھارت_محمد اسرار.txt,سیاست,politics,"Title: فروغِ نقاش کا شاہکار: مہابھارت:محمد اسرار

Published: -دسمبر 27, 2023
Author: 
Original URL: ..."
20250618_113459_کرشن بہاری نور کا رنگ سخن_عمیر منظر.txt,سیاست,politics,"Title: کرشن بہاری نور کا رنگ سخن:عمیر منظر

Published: -دسمبر 27, 2023
Author: 
Original URL: https:..."
20250618_113459_گلزار دہلوی کا شعری انفراد_سجاد احمد نجار.txt,سیاست,politics,"Title: گلزار دہلوی کا شعری انفراد:سجاد احمد نجار

Published: -دسمبر 28, 2023
Author: 
Original URL: ..."
20250618_113503_عرفان عباسی کی یاد میں_ محمد اویس سنبھلی.txt,سیاست,politics,"Title: عرفان عباسی کی یاد میں: محمد اویس سنبھلی

Published: -دسمبر 26, 2023
Author: 
Original URL: h..."
20250618_113503_منظور احمد منظور_ دلچسپ نثر نگار_ باکمال شاعر_ رؤف.txt,سیاست,politics,"Title: منظور احمد منظور: دلچسپ نثر نگار، باکمال شاعر: رؤف خیر

Published: -دسمبر 26, 2023
Author: 
O..."
20250618_113503_پروفیسر صاحب علی کی یاد میں_ڈاکٹر محمد زبیر.txt,سیاست,politics,"Title: پروفیسر صاحب علی کی یاد میں:ڈاکٹر محمد زبیر

Published: -دسمبر 15, 2023
Author: 
Original URL..."
20250618_113507_دارالمصن_فین اور پروفیسر نجیب اشرف ندوی کی تحقیقات.txt,سیاست,politics,"Title: دارالمصنّفین اور پروفیسر نجیب اشرف ندوی کی تحقیقات:محمد فرقان عالم

Published: -دسمبر 13, 202..."
20250618_113507_قومی اردوکونسل کا چھبیسواں اردو کتاب میلہ6تا14جنور.txt,سیاست,politics,"Title: قومی اردوکونسل کا چھبیسواں اردو کتاب میلہ6تا14جنوری2024 ممبئی میں منعقد ہو گا

Published: -دس..."
20250618_113507_کتبوں سے کتاب تک_ عاقل زیاد.txt,سیاست,politics,"Title: کتبوں سے کتاب تک: عاقل زیاد

Published: -دسمبر 14, 2023
Author: 
Original URL: https://ncpulb..."
20250618_113511_اکیسویں صدی میں ناول نگاری اور چند غیرمسلم ناول نگ.txt,سیاست,politics,"Title: اکیسویں صدی میں ناول نگاری اور چند غیرمسلم ناول نگار : مدثر احمد گنائی

Published: -دسمبر 12,..."
20250618_113511_محسن کاکوروی کی نعت گوئی_ ہندوستانی تہذیب کے تناظر.txt,سیاست,politics,"Title: محسن کاکوروی کی نعت گوئی: ہندوستانی تہذیب کے تناظر میں: سعود عالم

Published: -دسمبر 11, 2023..."
20250618_113511_ڈاکٹر سید محی الدین قادری زوراور فہرست اردو مخطوطا.txt,سیاست,politics,"Title: ڈاکٹر سید محی الدین قادری زوراور فہرست اردو مخطوطات:ڈاکٹر محمد شارب

Published: -دسمبر 08, 20..."
20250618_113516_رسالہ فیض میر_ میر کی فسانہ طرازی اور سلوک و معرفت.txt,سیاست,politics,"Title: رسالہ فیض میر: میر کی فسانہ طرازی اور سلوک و معرفت کی دنیا: محمد حنیف خان

Published: -دسمبر ..."
20250618_113516_سیمانچل میں اردو شاعری_ احسان قاسمی.txt,سیاست,politics,"Title: سیمانچل میں اردو شاعری: احسان قاسمی

Published: -دسمبر 06, 2023
Author: 
Original URL: https:..."
20250618_113516_قومی اردو کونسل کے زیر اہتمام _بھارت کے کثیر لسانی.txt,سیاست,politics,Title: قومی اردو کونسل کے زیر اہتمام ’بھارت کے کثیر لسانی موزیک میں مادری زبان کی اہمیت‘ کے عنوان سے...
20250618_113615_امداد صابری حیات اور خدمات_ محمد مظاہر.txt,سیاست,politics,"Title: امداد صابری حیات اور خدمات: محمد مظاہر

Published: -دسمبر 29, 2022
Author: 
Original URL: htt..."
20250618_113615_بیرونی سیاروں کی دریافت کس طرح کی جاتی ہے_ انیس ال.txt,سیاست,politics,"Title: بیرونی سیاروں کی دریافت کس طرح کی جاتی ہے: انیس الحسن صدیقی

Published: -دسمبر 29, 2022
Autho..."
20250618_113615_ن م راشد شمیم حنفی کی نظر میں_ ثاقب فریدی.txt,سیاست,politics,"Title: ن م راشد شمیم حنفی کی نظر میں: ثاقب فریدی

Published: -دسمبر 30, 2022
Author: 
Original URL: ..."
20250618_113615_کرامت علی کرامت ایک ہمہ جہت شخصیت_ سعید رحمانی.txt,سیاست,politics,"Title: کرامت علی کرامت ایک ہمہ جہت شخصیت: سعید رحمانی

Published: -دسمبر 28, 2022
Author: 
Original ..."
20250618_113620_شموئل احمد کی وفات اردو فکشن کا بڑا نقصان_ پروفیسر.txt,سیاست,politics,"Title: شموئل احمد کی وفات اردو فکشن کا بڑا نقصان: پروفیسر شیخ عقیل احمد

Published: -دسمبر 28, 2022
..."
20250618_113620_نظریہ تعمیریت اور سماجی علو کی تدریس_ شیخ وسیم شیخ.txt,سیاست,politics,"Title: نظریہ تعمیریت اور سماجی علو کی تدریس: شیخ وسیم شیخ شبیر

Published: -دسمبر 27, 2022
Author: 
..."
20250618_113620_گلستان سعدی_ عتیق الرحمن.txt,سیاست,politics,"Title: گلستان سعدی: عتیق الرحمن

Published: -دسمبر 26, 2022
Author: 
Original URL: https://ncpulblog..."
20250618_113624_بھارتی ڈاک ٹکٹ اور اردو قلم کار_ اسماعیل وفا.txt,سیاست,politics,"Title: بھارتی ڈاک ٹکٹ اور اردو قلم کار: اسماعیل وفا

Published: -دسمبر 16, 2022
Author: 
Original UR..."
20250618_113624_قومی اردو کونسل میں معروف شاعر قاسم امام کے اعز از.txt,سیاست,politics,"Title: قومی اردو کونسل میں معروف شاعر قاسم امام کے اعز از میں استقبالیہ تقریب

Published: -دسمبر 26,..."
20250618_113624_نذیر بنارسی کی شاعری میں ذکرگاندھی_ تمنا شاہین.txt,سیاست,politics,"Title: نذیر بنارسی کی شاعری میں ذکرگاندھی: تمنا شاہین

Published: -دسمبر 16, 2022
Author: 
Original ..."
20250618_113629_بچوں کے شفیع الدین نیر_ محمد ارشد انصاری.txt,سیاست,politics,"Title: بچوں کے شفیع الدین نیر: محمد ارشد انصاری

Published: -دسمبر 15, 2022
Author: 
Original URL: h..."
20250618_113629_شمس الرحمن فاروقی کی سفارشات لغات وروزمرہ کے حوالے.txt,سیاست,politics,"Title: شمس الرحمن فاروقی کی سفارشات لغات وروزمرہ کے حوالے سے: محمد نسیم

Published: -دسمبر 15, 2022
..."
20250618_113629_ماہنامہ خواتین دنیا_ دسمبر 2022.txt,فن و ثقافت,arts,"Title: ماہنامہ خواتین دنیا، دسمبر 2022

Published: -دسمبر 14, 2022
Author: 
Original URL: https://nc..."
20250618_113633_بر صغیر ہندکی اولین خانقاہ اور اس کے کتبہ کی تاریخ.txt,سیاست,politics,"Title: بر صغیر ہندکی اولین خانقاہ اور اس کے کتبہ کی تاریخی اہمیت:محمد مظفور الحق

Published: -دسمبر ..."
20250618_113633_صحرائے جمالیات کا تنہا قیس شکیل الرحمن_ انظر نبی ڈ.txt,سیاست,politics,"Title: صحرائے جمالیات کا تنہا قیس شکیل الرحمن: انظر نبی ڈار

Published: -دسمبر 14, 2022
Author: 
Ori..."
20250618_113633_پروفیسر شیخ عقیل احمد کی سربراہی میں قومی اردو کون.txt,سیاست,politics,Title: پروفیسر شیخ عقیل احمد کی سربراہی میں قومی اردو کونسل کے وفد کا دورۂ وجے واڑہ، اردو زبان کے فر...
2015\11\20250618_120413_اگلے جنم موہے بٹیا نہ کیجو _ قرۃ العین حیدر.txt,سیاست,politics,"Title: اگلے جنم موہے بٹیا نہ کیجو / قرۃ العین حیدر

Published: -نومبر 30, 2015
Author: 
Original URL..."
2015\11\20250618_140726_اگلے جنم موہے بٹیا نہ کیجو _ قرۃ العین حیدر.txt,سیاست,politics,"Title: اگلے جنم موہے بٹیا نہ کیجو / قرۃ العین حیدر

Published: -نومبر 30, 2015
Author: 
Original URL..."
2015\12\20250618_120356_البیئر کامیو_زبیر رضوی.txt,سیاست,politics,"Title: البیئر کامیو/زبیر رضوی

Published: -دسمبر 29, 2015
Author: 
Original URL: https://ncpulblog.b..."
2015\12\20250618_120356_تانیثی ادب کی شناخت اور تعی_ن_ قدر _ابولکلام قاسمی.txt,سیاست,politics,"Title: تانیثی ادب کی شناخت اور تعیّنِ قدر /ابولکلام قاسمی

Published: -دسمبر 30, 2015
Author: 
Origi..."
2015\12\20250618_120400_پریم چند کی کہانیاں.txt,سیاست,politics,"Title: پریم چند کی کہانیاں

Published: -دسمبر 28, 2015
Author: 
Original URL: https://ncpulblog.blog..."
2015\12\20250618_120404_راجندر سنگھ بیدی _ زندگی اور شخصیت.txt,سیاست,politics,"Title: راجندر سنگھ بیدی — زندگی اور شخصیت

Published: -دسمبر 10, 2015
Author: 
Original URL: https:/..."
2015\12\20250618_120404_ولی کی زبان_عبدالستار صدیقی.txt,سیاست,politics,"Title: ولی کی زبان/عبدالستار صدیقی

Published: -دسمبر 15, 2015
Author: 
Original URL: https://ncpulb..."
2015\12\20250618_120404_پروفیسر ارتضی_ کریم سے خصوصی بات چیت.txt,سیاست,politics,"Title: پروفیسر ارتضیٰ کریم سے خصوصی بات چیت

Published: -دسمبر 22, 2015
Author: 
Original URL: https..."
2015\12\20250618_120409_اگلے جنم موہے بٹیا نہ کیجو _ قرۃ العین حیدر.txt,سیاست,politics,"Title: اگلے جنم موہے بٹیا نہ کیجو / قرۃ العین حیدر

Published: -نومبر 30, 2015
Author: 
Original URL..."
2015\12\20250618_120409_عنایت اللہ حجام اور میر تقی میر کا ادبی معرکہ.txt,سیاست,politics,"Title: عنایت اللہ حجام اور میر تقی میر کا ادبی معرکہ

Published: -دسمبر 09, 2015
Author: 
Original U..."
2015\12\20250618_140617_البیئر کامیو_زبیر رضوی.txt,سیاست,politics,"Title: البیئر کامیو/زبیر رضوی

Published: -دسمبر 29, 2015
Author: 
Original URL: https://ncpulblog.b..."
2015\12\20250618_140617_تانیثی ادب کی شناخت اور تعی_ن_ قدر _ابولکلام قاسمی.txt,سیاست,politics,"Title: تانیثی ادب کی شناخت اور تعیّنِ قدر /ابولکلام قاسمی

Published: -دسمبر 30, 2015
Author: 
Origi..."
2015\12\20250618_140635_پریم چند کی کہانیاں.txt,سیاست,politics,"Title: پریم چند کی کہانیاں

Published: -دسمبر 28, 2015
Author: 
Original URL: https://ncpulblog.blog..."
2015\12\20250618_140651_راجندر سنگھ بیدی _ زندگی اور شخصیت.txt,سیاست,politics,"Title: راجندر سنگھ بیدی — زندگی اور شخصیت

Published: -دسمبر 10, 2015
Author: 
Original URL: https:/..."
2015\12\20250618_140651_ولی کی زبان_عبدالستار صدیقی.txt,سیاست,politics,"Title: ولی کی زبان/عبدالستار صدیقی

Published: -دسمبر 15, 2015
Author: 
Original URL: https://ncpulb..."
2015\12\20250618_140651_پروفیسر ارتضی_ کریم سے خصوصی بات چیت.txt,سیاست,politics,"Title: پروفیسر ارتضیٰ کریم سے خصوصی بات چیت

Published: -دسمبر 22, 2015
Author: 
Original URL: https..."
2015\12\20250618_140709_اگلے جنم موہے بٹیا نہ کیجو _ قرۃ العین حیدر.txt,سیاست,politics,"Title: اگلے جنم موہے بٹیا نہ کیجو / قرۃ العین حیدر

Published: -نومبر 30, 2015
Author: 
Original URL..."
2015\12\20250618_140709_عنایت اللہ حجام اور میر تقی میر کا ادبی معرکہ.txt,سیاست,politics,"Title: عنایت اللہ حجام اور میر تقی میر کا ادبی معرکہ

Published: -دسمبر 09, 2015
Author: 
Original U..."
2017\01\20250618_140029_اتساہت_ بیکل _  امتیاز رومی.txt,سیاست,politics,"Title: اتساہتِ بیکل :  امتیاز رومی

Published: -جنوری 12, 2017
Author: 

===========================..."
2017\01\20250618_140031_اتساہت_ بیکل _  امتیاز رومی.txt,سیاست,politics,"Title: اتساہتِ بیکل :  امتیاز رومی

Published: -جنوری 12, 2017
Author: 

===========================..."
2017\01\20250618_140358_اتساہت_ بیکل _  امتیاز رومی.txt,سیاست,politics,"Title: اتساہتِ بیکل :  امتیاز رومی

Published: -جنوری 12, 2017
Author: 

===========================..."
2017\01\20250618_140401_اتساہت_ بیکل _  امتیاز رومی.txt,سیاست,politics,"Title: اتساہتِ بیکل :  امتیاز رومی

Published: -جنوری 12, 2017
Author: 

===========================..."
2017\05\20250618_135556_ہندوستان میں اعلی_ تعلیم کی صورت_ حال.txt,سیاست,politics,"Title: ہندوستان میں اعلیٰ تعلیم کی صورتِ حال

Published: -مئی 26, 2017
Author: 

===================..."
2017\05\20250618_135958_ہندوستان میں اعلی_ تعلیم کی صورت_ حال.txt,سیاست,politics,"Title: ہندوستان میں اعلیٰ تعلیم کی صورتِ حال

Published: -مئی 26, 2017
Author: 

===================..."
2017\05\20250618_140000_ہندوستان میں اعلی_ تعلیم کی صورت_ حال.txt,سیاست,politics,"Title: ہندوستان میں اعلیٰ تعلیم کی صورتِ حال

Published: -مئی 26, 2017
Author: 

===================..."
2017\05\20250618_140002_نصاب_ تعلیم میں انسانی اقدار کی تلاش_ از ڈاکٹر مشت.txt,سیاست,politics,"Title: نصابِ تعلیم میں انسانی اقدار کی تلاش! از ڈاکٹر مشتاق احمد

Published: -مئی 12, 2017
Author: 
..."
2017\05\20250618_140004_نصاب_ تعلیم میں انسانی اقدار کی تلاش_ از ڈاکٹر مشت.txt,سیاست,politics,"Title: نصابِ تعلیم میں انسانی اقدار کی تلاش! از ڈاکٹر مشتاق احمد

Published: -مئی 12, 2017
Author: 
..."
2017\05\20250618_140025_ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا م.txt,سیاست,politics,"Title: ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا منظر نامہ

Published: -مئی 08, 2017
Author: ..."
2017\05\20250618_140027_ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا م.txt,سیاست,politics,"Title: ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا منظر نامہ

Published: -مئی 08, 2017
Author: ..."
2017\05\20250618_140332_ہندوستان میں اعلی_ تعلیم کی صورت_ حال.txt,سیاست,politics,"Title: ہندوستان میں اعلیٰ تعلیم کی صورتِ حال

Published: -مئی 26, 2017
Author: 

===================..."
2017\05\20250618_140334_ہندوستان میں اعلی_ تعلیم کی صورت_ حال.txt,سیاست,politics,"Title: ہندوستان میں اعلیٰ تعلیم کی صورتِ حال

Published: -مئی 26, 2017
Author: 

===================..."
2017\05\20250618_140336_نصاب_ تعلیم میں انسانی اقدار کی تلاش_ از ڈاکٹر مشت.txt,سیاست,politics,"Title: نصابِ تعلیم میں انسانی اقدار کی تلاش! از ڈاکٹر مشتاق احمد

Published: -مئی 12, 2017
Author: 
..."
2017\05\20250618_140338_نصاب_ تعلیم میں انسانی اقدار کی تلاش_ از ڈاکٹر مشت.txt,سیاست,politics,"Title: نصابِ تعلیم میں انسانی اقدار کی تلاش! از ڈاکٹر مشتاق احمد

Published: -مئی 12, 2017
Author: 
..."
2017\05\20250618_140355_ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا م.txt,سیاست,politics,"Title: ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا منظر نامہ

Published: -مئی 08, 2017
Author: ..."
2017\05\20250618_140357_ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا م.txt,سیاست,politics,"Title: ہندوستان اور بیرونی ممالک میں اردو زبان و ادب کا منظر نامہ

Published: -مئی 08, 2017
Author: ..."
2017\06\20250618_135548_مونوگراف شفیق جونپوری.txt,سیاست,politics,"Title: مونوگراف شفیق جونپوری

Published: -جون 19, 2017
Author: 

===================================..."
2017\06\20250618_135550_مونوگراف شفیق جونپوری.txt,سیاست,politics,"Title: مونوگراف شفیق جونپوری

Published: -جون 19, 2017
Author: 

===================================..."
2017\06\20250618_135552_اردو صحافت کے دو سو سال _حص_ہ او_ل و دوم_.txt,سیاست,politics,"Title: اردو صحافت کے دو سو سال (حصّہ اوّل و دوم)

Published: -جون 07, 2017
Author: 

===============..."
2017\06\20250618_135554_اردو صحافت کے دو سو سال _حص_ہ او_ل و دوم_.txt,سیاست,politics,"Title: اردو صحافت کے دو سو سال (حصّہ اوّل و دوم)

Published: -جون 07, 2017
Author: 

===============..."
2017\06\20250618_135933_مونوگراف شفیق جونپوری.txt,سیاست,politics,"Title: مونوگراف شفیق جونپوری

Published: -جون 19, 2017
Author: 

===================================..."
2017\06\20250618_135935_مونوگراف شفیق جونپوری.txt,سیاست,politics,"Title: مونوگراف شفیق جونپوری

Published: -جون 19, 2017
Author: 

===================================..."
2017\06\20250618_135956_اردو صحافت کے دو سو سال _حص_ہ او_ل و دوم_.txt,سیاست,politics,"Title: اردو صحافت کے دو سو سال (حصّہ اوّل و دوم)

Published: -جون 07, 2017
Author: 

===============..."
2017\06\20250618_135957_اردو صحافت کے دو سو سال _حص_ہ او_ل و دوم_.txt,سیاست,politics,"Title: اردو صحافت کے دو سو سال (حصّہ اوّل و دوم)

Published: -جون 07, 2017
Author: 

===============..."
2017\06\20250618_140310_مونوگراف شفیق جونپوری.txt,سیاست,politics,"Title: مونوگراف شفیق جونپوری

Published: -جون 19, 2017
Author: 

===================================..."
2017\06\20250618_140312_مونوگراف شفیق جونپوری.txt,سیاست,politics,"Title: مونوگراف شفیق جونپوری

Published: -جون 19, 2017
Author: 

===================================..."
2017\06\20250618_140329_اردو صحافت کے دو سو سال _حص_ہ او_ل و دوم_.txt,سیاست,politics,"Title: اردو صحافت کے دو سو سال (حصّہ اوّل و دوم)

Published: -جون 07, 2017
Author: 

===============..."
2017\06\20250618_140330_اردو صحافت کے دو سو سال _حص_ہ او_ل و دوم_.txt,سیاست,politics,"Title: اردو صحافت کے دو سو سال (حصّہ اوّل و دوم)

Published: -جون 07, 2017
Author: 

===============..."
2017\08\20250618_135450_بی ام_اں از ڈاکٹر بانو سرتاج.txt,سیاست,politics,"Title: بی امّاں از ڈاکٹر بانو سرتاج

Published: -اگست 28, 2017
Author: 

===========================..."
2017\08\20250618_135452_بی ام_اں از ڈاکٹر بانو سرتاج.txt,سیاست,politics,"Title: بی امّاں از ڈاکٹر بانو سرتاج

Published: -اگست 28, 2017
Author: 

===========================..."
2017\08\20250618_135454_اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈا.txt,سیاست,politics,"Title: اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈاکٹر خان محمد آصف

Published: -اگست 24, 201..."
2017\08\20250618_135456_اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈا.txt,سیاست,politics,"Title: اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈاکٹر خان محمد آصف

Published: -اگست 24, 201..."
2017\08\20250618_135458_ایک باغ و بہار شخصیت_ صغرا مہدی  از  نگار عظیم.txt,سیاست,politics,"Title: ایک باغ و بہار شخصیت: صغرا مہدی  از  نگار عظیم

Published: -اگست 22, 2017
Author: 

=========..."
2017\08\20250618_135500_ایک باغ و بہار شخصیت_ صغرا مہدی  از  نگار عظیم.txt,سیاست,politics,"Title: ایک باغ و بہار شخصیت: صغرا مہدی  از  نگار عظیم

Published: -اگست 22, 2017
Author: 

=========..."
2017\08\20250618_135520_تعلیم_ نسواں کا نقیب_ الطاف حسین حالی  از ڈاکٹر سی.txt,سیاست,politics,"Title: تعلیمِ نسواں کا نقیب: الطاف حسین حالی  از ڈاکٹر سیما صغیر

Published: -اگست 16, 2017
Author: ..."
2017\08\20250618_135522_تعلیم_ نسواں کا نقیب_ الطاف حسین حالی  از ڈاکٹر سی.txt,سیاست,politics,"Title: تعلیمِ نسواں کا نقیب: الطاف حسین حالی  از ڈاکٹر سیما صغیر

Published: -اگست 16, 2017
Author: ..."
2017\08\20250618_135524_میر تقی میر از نثار احمد فاروقی_ تبصرہ اسما_ جامعہ.txt,سیاست,politics,"Title: میر تقی میر از نثار احمد فاروقی: تبصرہ اسما، جامعہ ملیہ اسلامیہ

Published: -اگست 14, 2017
Au..."
2017\08\20250618_135526_میر تقی میر از نثار احمد فاروقی_ تبصرہ اسما_ جامعہ.txt,سیاست,politics,"Title: میر تقی میر از نثار احمد فاروقی: تبصرہ اسما، جامعہ ملیہ اسلامیہ

Published: -اگست 14, 2017
Au..."
2017\08\20250618_135528_تبصرہ _کلیات مضامین وحید اختر از ڈاکٹر عادل حیات.txt,سیاست,politics,"Title: تبصرہ :کلیات مضامین وحید اختر از ڈاکٹر عادل حیات

Published: -اگست 10, 2017
Author: 

=======..."
2017\08\20250618_135529_تبصرہ _کلیات مضامین وحید اختر از ڈاکٹر عادل حیات.txt,سیاست,politics,"Title: تبصرہ :کلیات مضامین وحید اختر از ڈاکٹر عادل حیات

Published: -اگست 10, 2017
Author: 

=======..."
2017\08\20250618_135839_بی ام_اں از ڈاکٹر بانو سرتاج.txt,سیاست,politics,"Title: بی امّاں از ڈاکٹر بانو سرتاج

Published: -اگست 28, 2017
Author: 

===========================..."
2017\08\20250618_135840_بی ام_اں از ڈاکٹر بانو سرتاج.txt,سیاست,politics,"Title: بی امّاں از ڈاکٹر بانو سرتاج

Published: -اگست 28, 2017
Author: 

===========================..."
2017\08\20250618_135900_اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈا.txt,سیاست,politics,"Title: اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈاکٹر خان محمد آصف

Published: -اگست 24, 201..."
2017\08\20250618_135902_اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈا.txt,سیاست,politics,"Title: اردوزبان وادب کی ترویج میں سائبر سماج کا حصہ از ڈاکٹر خان محمد آصف

Published: -اگست 24, 201..."
2017\08\20250618_135903_ایک باغ و بہار شخصیت_ صغرا مہدی  از  نگار عظیم.txt,سیاست,politics,"Title: ایک باغ و بہار شخصیت: صغرا مہدی  از  نگار عظیم

Published: -اگست 22, 2017
Author: 

=========..."
2017\08\20250618_135905_ایک باغ و بہار شخصیت_ صغرا مہدی  از  نگار عظیم.txt,سیاست,politics,"Title: ایک باغ و بہار شخصیت: صغرا مہدی  از  نگار عظیم

Published: -اگست 22, 2017
Author: 

=========..."
2017\08\20250618_135907_تعلیم_ نسواں کا نقیب_ الطاف حسین حالی  از ڈاکٹر سی.txt,سیاست,politics,"Title: تعلیمِ نسواں کا نقیب: الطاف حسین حالی  از ڈاکٹر سیما صغیر

Published: -اگست 16, 2017
Author: ..."
2017\08\20250618_135908_تعلیم_ نسواں کا نقیب_ الطاف حسین حالی  از ڈاکٹر سی.txt,سیاست,politics,"Title: تعلیمِ نسواں کا نقیب: الطاف حسین حالی  از ڈاکٹر سیما صغیر

Published: -اگست 16, 2017
Author: ..."
2017\08\20250618_135927_میر تقی میر از نثار احمد فاروقی_ تبصرہ اسما_ جامعہ.txt,سیاست,politics,"Title: میر تقی میر از نثار احمد فاروقی: تبصرہ اسما، جامعہ ملیہ اسلامیہ

Published: -اگست 14, 2017
Au..."
2017\08\20250618_135928_میر تقی میر از نثار احمد فاروقی_ تبصرہ اسما_ جامعہ.txt,سیاست,politics,"Title: میر تقی میر از نثار احمد فاروقی: تبصرہ اسما، جامعہ ملیہ اسلامیہ

Published: -اگست 14, 2017
Au..."
2017\08\20250618_135930_تبصرہ _کلیات مضامین وحید اختر از ڈاکٹر عادل حیات.txt,سیاست,politics,"Title: تبصرہ :کلیات مضامین وحید اختر از ڈاکٹر عادل حیات

Published: -اگست 10, 2017
Author: 

=======..."
2017\08\20250618_135932_تبصرہ _کلیات مضامین وحید اختر از ڈاکٹر عادل حیات.txt,سیاست,politics,"Title: تبصرہ :کلیات مضامین وحید اختر از ڈاکٹر عادل حیات

Published: -اگست 10, 2017
Author: 

=======..."
2017\08\20250618_140217_بی ام_اں از ڈاکٹر بانو سرتاج.txt,سیاست,politics,"Title: بی امّاں از ڈاکٹر بانو سرتاج

Published: -اگست 28, 2017
Author: 

===========================..."
2017\08\20250618_140219_بی ام_اں از ڈاکٹر بانو سرتاج.txt,سیاست,politics,"Title: بی امّاں از ڈاکٹر بانو سرتاج

Published: -اگست 28, 2017
Author: 

===========================..."
